operation;strategy;blockSize;fileSizeInBytes;durationInMs
WRITE;BlockByBlockWithBufferedStream;500;10485760;90
WRITE;BlockByBlockWithBufferedStream;50;10485760;101
WRITE;BlockByBlockWithBufferedStream;5;10485760;169
WRITE;ByteByByteWithBufferedStream;0;10485760;409
WRITE;BlockByBlockWithoutBufferedStream;500;10485760;515
WRITE;BlockByBlockWithoutBufferedStream;50;10485760;3714
WRITE;BlockByBlockWithoutBufferedStream;5;10485760;35961
WRITE;ByteByByteWithoutBufferedStream;0;10485760;166744
READ;BlockByBlockWithBufferedStream;500;10485760;61
READ;BlockByBlockWithBufferedStream;50;10485760;63
READ;BlockByBlockWithBufferedStream;5;10485760;124
READ;ByteByByteWithBufferedStream;0;10485760;278
READ;BlockByBlockWithoutBufferedStream;500;10485760;293
READ;BlockByBlockWithoutBufferedStream;50;10485760;2488
READ;BlockByBlockWithoutBufferedStream;5;10485760;24807
READ;ByteByByteWithoutBufferedStream;0;10485760;115073
